date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 14:00:00+05:30,212.03,212.69,211.67,212.13,15615,14:00:00,2024-10-07,EMIL
2024-10-07 14:05:00+05:30,212.1,212.9,212.01,212.56,12149,14:05:00,2024-10-07,EMIL
2024-10-07 14:10:00+05:30,212.56,212.6,212.08,212.42,15840,14:10:00,2024-10-07,EMIL
2024-10-07 14:15:00+05:30,212.42,212.59,212.0,212.27,12704,14:15:00,2024-10-07,EMIL
2024-10-07 14:20:00+05:30,212.52,212.69,212.25,212.4,14267,14:20:00,2024-10-07,EMIL
2024-10-07 14:25:00+05:30,212.4,212.4,211.65,211.87,18777,14:25:00,2024-10-07,EMIL
2024-10-07 14:30:00+05:30,211.87,212.28,211.56,212.24,14569,14:30:00,2024-10-07,EMIL
2024-10-07 14:35:00+05:30,212.24,212.38,211.71,212.0,16062,14:35:00,2024-10-07,EMIL
2024-10-07 14:40:00+05:30,212.0,213.77,211.8,213.59,23321,14:40:00,2024-10-07,EMIL
2024-10-07 14:45:00+05:30,213.59,214.6,212.82,214.58,18550,14:45:00,2024-10-07,EMIL
2024-10-07 14:50:00+05:30,214.56,214.94,214.21,214.49,9545,14:50:00,2024-10-07,EMIL
2024-10-07 14:55:00+05:30,214.49,214.5,213.5,214.3,9729,14:55:00,2024-10-07,EMIL
2024-10-07 15:00:00+05:30,214.35,214.4,214.3,214.39,6715,15:00:00,2024-10-07,EMIL
2024-10-07 15:05:00+05:30,214.39,214.4,214.36,214.4,6540,15:05:00,2024-10-07,EMIL
2024-10-07 15:10:00+05:30,214.4,214.42,211.65,211.69,28768,15:10:00,2024-10-07,EMIL
2024-10-07 15:15:00+05:30,211.69,213.09,211.31,211.54,67691,15:15:00,2024-10-07,EMIL
2024-10-07 15:20:00+05:30,211.54,212.3,211.54,211.92,45004,15:20:00,2024-10-07,EMIL
2024-10-07 15:25:00+05:30,211.92,212.48,211.61,211.67,36109,15:25:00,2024-10-07,EMIL
2024-10-07 09:15:00+05:30,2270.0,2289.0,2244.4,2248.55,2781,09:15:00,2024-10-07,ENDURANCE
2024-10-07 09:20:00+05:30,2250.8,2250.85,2234.0,2234.05,1758,09:20:00,2024-10-07,ENDURANCE
2024-10-07 09:25:00+05:30,2234.0,2239.95,2229.75,2231.95,1876,09:25:00,2024-10-07,ENDURANCE
2024-10-07 09:30:00+05:30,2231.95,2232.65,2227.0,2228.75,1045,09:30:00,2024-10-07,ENDURANCE
2024-10-07 09:35:00+05:30,2227.6,2231.9,2227.5,2231.9,1058,09:35:00,2024-10-07,ENDURANCE
2024-10-07 09:40:00+05:30,2231.9,2236.25,2221.0,2222.5,1246,09:40:00,2024-10-07,ENDURANCE
2024-10-07 09:45:00+05:30,2222.5,2223.9,2218.55,2218.8,1492,09:45:00,2024-10-07,ENDURANCE
2024-10-07 09:50:00+05:30,2218.8,2227.35,2218.8,2221.2,1182,09:50:00,2024-10-07,ENDURANCE
2024-10-07 09:55:00+05:30,2221.2,2223.2,2213.9,2216.95,690,09:55:00,2024-10-07,ENDURANCE
2024-10-07 10:00:00+05:30,2215.05,2215.05,2204.0,2207.7,1933,10:00:00,2024-10-07,ENDURANCE
2024-10-07 10:05:00+05:30,2208.2,2212.95,2206.0,2208.4,1892,10:05:00,2024-10-07,ENDURANCE
2024-10-07 10:10:00+05:30,2208.7,2235.0,2204.75,2228.75,34848,10:10:00,2024-10-07,ENDURANCE
2024-10-07 10:15:00+05:30,2226.55,2231.85,2221.3,2223.0,3964,10:15:00,2024-10-07,ENDURANCE
2024-10-07 10:20:00+05:30,2223.0,2230.0,2218.1,2220.6,2006,10:20:00,2024-10-07,ENDURANCE
2024-10-07 10:25:00+05:30,2220.6,2220.6,2213.1,2217.7,263,10:25:00,2024-10-07,ENDURANCE
2024-10-07 10:30:00+05:30,2217.7,2220.0,2212.75,2215.0,217,10:30:00,2024-10-07,ENDURANCE
2024-10-07 10:35:00+05:30,2215.0,2215.1,2207.85,2208.8,437,10:35:00,2024-10-07,ENDURANCE
2024-10-07 10:40:00+05:30,2209.05,2214.05,2206.05,2211.85,623,10:40:00,2024-10-07,ENDURANCE
2024-10-07 10:45:00+05:30,2211.7,2211.7,2204.1,2207.25,389,10:45:00,2024-10-07,ENDURANCE
2024-10-07 10:50:00+05:30,2207.25,2210.65,2201.0,2204.4,624,10:50:00,2024-10-07,ENDURANCE
2024-10-07 10:55:00+05:30,2207.4,2207.4,2195.1,2198.25,1154,10:55:00,2024-10-07,ENDURANCE
2024-10-07 11:00:00+05:30,2196.2,2198.1,2184.35,2185.05,691,11:00:00,2024-10-07,ENDURANCE
2024-10-07 11:05:00+05:30,2185.05,2191.35,2185.0,2186.25,1163,11:05:00,2024-10-07,ENDURANCE
2024-10-07 11:10:00+05:30,2186.25,2191.25,2185.0,2190.8,774,11:10:00,2024-10-07,ENDURANCE
2024-10-07 11:15:00+05:30,2189.0,2208.6,2189.0,2208.0,596,11:15:00,2024-10-07,ENDURANCE
2024-10-07 11:20:00+05:30,2206.3,2218.4,2202.1,2218.4,1010,11:20:00,2024-10-07,ENDURANCE
